City,PostType,Price,Rooms,SqMetrage,Title,SqMetrageBucket,Urgency,PricePerSqM
Kielce,Company post,374690.0,2,42.1,Mieszkanie po generalnym remoncie os. Sady,30-49,Normal,8900.0
Wrocław,Company post,543000.0,2,50.0,"2-pok. gotowe mieszkanie, Przedmieście Oławskie",50-74,Normal,10860.0
Warszawa,Company post,495000.0,2,35.5,"Praga Pd, ul. Owsiana, 2 pok. garaż, komórka, 2018",30-49,Normal,13943.661971830987
Poznań,Company post,356900.0,2,42.05,OKAZJA do 29.07! 2 pok 42m2 | SUPER lokalizacja!,30-49,Normal,8487.514863258028
Warszawa,Company post,1095000.0,3,75.0,3pok/ Prestiżowy budynek Wilanów One/ Klimatyzacja,75-100,Normal,14600.0
Wrocław,Company post,719000.0,3,67.0,Ogród - taras - balkon - 3 pok -Ołtaszyn,50-74,Normal,10731.34328358209
Lublin,Company post,,2,34.65,Dwupokojowe Mieszkanie Rezydencja Ogród Saski D3.7,30-49,Normal,
Warszawa,Company post,630000.0,3,63.1,3 pokoje wśród zieleni bisko metra Imielin!,50-74,Normal,9984.152139461172
Kutno,Company post,460000.0,3,70.0,Sprzedam nowe mieszkanie na Zielonym Zaciszu,50-74,Normal,6571.428571428572
Kraków,Company post,1300000.0,3,95.0,Śródmieście Bujwida do remontu z garażem!,75-100,Normal,13684.21052631579
Sosnowiec,Company post,423000.0,4,70.5,4 Pokoje gotowe + Miejsce + ogródek 60mkw,50-74,Normal,6000.0
Radom,Company post,579000.0,3,65.0,Apartament 65mkw Garaż Parking Piękne Osiedle,50-74,Normal,8907.692307692309
Bielsko-Biała,Company post,480000.0,5,82.55,5 pokojowe dwupoziomowe mieszkanie - odbiór w 2022,75-100,Normal,5814.6577831617205
Kołobrzeg,Company post,465000.0,3,56.21,Mieszkanie 3-pok. dwustonne ogród na dachu M32,50-74,Normal,8272.549368439779
Rzeszów,Company post,530000.0,4,75.55,4 Pokoje Na Projektancie! Stan Deweloperski!,75-100,Normal,7015.221707478491
Kołobrzeg,Company post,375000.0,2,44.93,Mieszkanie 2 pok. z widokiem na ogród M.58,30-49,Normal,8346.316492321388
Kołobrzeg,Company post,365000.0,2,42.2,Mieszkanie 2 pok. pd.-zach. M.29,30-49,Normal,8649.289099526066
Kraków,Company post,658404.0,3,66.6,Garaż w cenie_3.5km centrum_nowe 4pok_najtaniej m2,50-74,Normal,9885.945945945947
Kołobrzeg,Company post,395000.0,2,43.64,Mieszkanie 2 pok. z dużym balkonem M.59,30-49,Normal,9051.329055912007
Grodzisk Mazowiecki,Company post,397000.0,2,44.35,"Mieszkanie 2 pokoje 44,5 m2 Grodzisk Mazow - Cesja",30-49,Normal,8951.521984216459
Lublin,Company post,499000.0,3,50.0,Wysoki Standard Czuby 3 Pokoje - widok na las,50-74,Normal,9980.0
Bielsko-Biała,Company post,376997.0,3,47.4,Mieszkanie po remoncie Bielsko-Biała oś. Kopernika,30-49,Normal,7953.523206751055
Sosnowiec,Company post,237000.0,2,35.2,2 pokoje + ogródek o wielkości 37 mkw.,30-49,Normal,6732.954545454545
Kołobrzeg,Company post,470000.0,3,53.69,Mieszkanie 3-pok. dwustronne z 2-ma balkonami M57,50-74,Normal,8753.95790650028
Bydgoszcz,Company post,479000.0,3,52.02,Mieszkanie w centrum Bydgoszczy,50-74,Normal,9207.9969242599
Lublin,Company post,,1,25.24,Ustawne Mieszkanie Rezydencja Ogród Saski | D3.8,<30,Normal,
Toruń,Company post,339990.0,2,35.8,"Piękne, Przytulne, Nowe na Rubinkowie",30-49,Normal,9496.927374301677
Nowy Dwór Mazowiecki,Company post,415000.0,3,47.52,"Przytulne trzypokojowe mieszkanie 47,5 m2.",30-49,Normal,8733.164983164983
Książenice,Company post,590000.0,5,131.0,Książenice Bezpośrednio,>100,Normal,4503.81679389313
Kraków,Company post,510762.0,3,53.62,Promocja| 3 pokoje + dwa miejsca garażowe,50-74,Normal,9525.587467362924
Toruń,Company post,1620000.0,7,216.0,Perła Starego Miasta! Inwestycja 216m2 1 piętro,>100,Normal,7500.0
Rzeszów,Company post,275080.0,1,29.9,Nowe Mieszkanie na Osiedlu Architektów B2.6.M106,<30,Normal,9200.0
Września,Company post,350000.0,3,51.7,Mieszkanie na sprzedaż na Osiedlu Tysiąclecia,50-74,Normal,6769.825918762089
Warszawa,Company post,870000.0,4,68.0,Metro Słodowiec - cegła.,50-74,Normal,12794.117647058823
Warszawa,Company post,490902.0,4,60.0,Nowe 4pok_ wielki ogródek_CENA DO SOBOTY_Rabaty,50-74,Normal,8181.7
Pszczyna,Company post,329000.0,2,47.81,"2 pokojowe mieszkanie w Centrum, I piętro, parking",30-49,Normal,6881.405563689605
Ruda Śląska,Company post,308000.0,3,61.0,*REZERWACJA* 3 pokoje Ruda Śląska Bykowina,50-74,Normal,5049.180327868852
Warszawa,Company post,632580.0,2,32.44,sprzedam 2 pokojowy apartament / FOR SALE,30-49,Normal,19500.0
Sosnowiec,Company post,422034.0,4,68.07,Duzy balkon + Miejsce w hali + Gotowy Budynek,50-74,Normal,6200.000000000001
Lipowo,Company post,1999000.0,5,226.0,Wyjątkowy DOM ! Enklawa spokoju blisko Warszawy.,>100,Normal,8845.132743362832
Szczecin,Company post,315000.0,1,28.5,Urządzona i w pełni wyposażona kawalerka,<30,Normal,11052.631578947368
Lublin,Company post,,2,37.28,Nowoczesne Mieszkanie Rezydencja Ogród Saski D4.1,30-49,Normal,
Wrocław,Company post,510621.0,2,40.85,2-pokojowe mieszkanie 40m2 + balkon Bez Prowizji,30-49,Normal,12499.902080783353
Wrocław,Company post,494746.0,2,39.58,2-pokojowe mieszkanie 39m2 + taras Bez Prowizji,30-49,Normal,12499.89893885801
Wrocław,Company post,494253.0,2,40.85,2-pokojowe mieszkanie 40m2 + balkon Bez Prowizji,30-49,Normal,12099.21664626683
Koszalin,Company post,539000.0,3,66.82,"Atrakcyjne mieszkanie z mp, loggia i tarasem",50-74,Normal,8066.447171505538
Katowice,Company post,315000.0,2,47.5,Sprzedam Superjednostka,30-49,Normal,6631.578947368421
Koleczkowo,Company post,2799000.0,5,300.0,"Wyjątkowy dom z panoramicznymi oknami, obok lasu",>100,Normal,9330.0
Warszawa,Company post,1399000.0,3,158.0,Dwupoziomowe | Prywatny Dach | Taras,>100,Normal,8854.430379746835
Łomianki Dolne,Company post,950000.0,4,110.0,Nowe urządzone mieszkanie 110 mkw- Łomianki Dolne,>100,Normal,8636.363636363636
Warszawa,Company post,843000.0,4,84.4,Wygodne 4 pokoje blisko stacji metra Ursynów,75-100,Normal,9988.151658767772
Warszawa,Company post,750000.0,3,56.9,Saska Kępa - słoneczne trzypokojowe - ul. Saska,50-74,Normal,13181.019332161688
Sosnowiec,Company post,358312.0,3,57.33,WyprzedażMieszkań w Budynku Gotowym Miejsce Gratis,50-74,Normal,6249.9912785627075
Gdańsk,Company post,420000.0,2,40.4,"Gdańsk-Borkowo 2 pokoje 40,4m2",30-49,Normal,10396.039603960397
Warszawa,Company post,1390000.0,4,73.71,Widok na Wisłę i Stare Miasto,50-74,Normal,18857.685524352193
Kraków,Company post,436000.0,3,64.7,Aleksandry trzypokojowe z loggią,50-74,Normal,6738.794435857805
Gdańsk,Company post,490000.0,2,40.0,Mieszkanie 2 pokojowe - w spokojnej okolicy,30-49,Normal,12250.0
Gdańsk,Company post,590000.0,3,57.0,"Mieszkanie, 57 m², Gdańsk",50-74,Normal,10350.877192982456
Warszawa,Company post,1299000.0,4,128.12,"Dwupoziomowy apartament z sauną, 2 garaże",>100,Normal,10138.932251014674
Poznań,Company post,399000.0,2,48.4,"Mieszkanie 2 pokojowe z osobną kuchnia, balkon.",30-49,Normal,8243.801652892562
Koszalin,Company post,279000.0,2,38.3,"2 pokojowe mieszkanie, II piętro, ""Na skarpie""",30-49,Normal,7284.595300261097
Lublin,Company post,,2,37.69,Ustawne Mieszkanie Rezydencja Ogród Saski | D4.2,30-49,Normal,
Gorzów Wielkopolski,Company post,418000.0,2,50.31,"Mieszkanie w nowym bloku, os. Górczyn",50-74,Normal,8308.48737825482
Nowy Dwór Mazowiecki,Company post,265584.0,2,29.33,Rezydencja OKRZEI Nowy Dwór Mazowiecki,<30,Normal,9055.028980565974
Wrocław,Company post,490000.0,2,41.0,Krzyki 2 pok. 41m.bardzo ładne nowe budownictwo!,30-49,Normal,11951.219512195123
Piastów,Company post,749000.0,4,87.52,4-pokojowe mieszkanie. Alternatywa dla Ursusa.,75-100,Normal,8558.043875685558
Gałowo,Company post,289000.0,2,50.5,Mieszkanie w bardzo dobrej lokalizacji,50-74,Normal,5722.772277227723
Nowy Dwór Mazowiecki,Company post,359869.0,2,40.97,Rezydencja OKRZEI Nowy Dwór Mazowiecki,30-49,Normal,8783.71979497193
Nowy Dwór Mazowiecki,Company post,599949.0,4,66.25,Rezydencja OKRZEI Nowy Dwór Mazowiecki,50-74,Normal,9055.83396226415
Warszawa,Company post,465000.0,2,37.5,Ciche na Starej Ochocie,30-49,Normal,12400.0
Sosnowiec,Company post,423000.0,1,70.5,Mieszkanie Gotowe. Miejsce Gratis Słoneczne,50-74,Normal,6000.0
Nowy Dwór Mazowiecki,Company post,599932.0,3,77.35,Rezydencja OKRZEI Nowy Dwór Mazowiecki,75-100,Normal,7756.0698125404015
Warszawa,Company post,571801.0,5,73.05,Słoneczne 5pok_CENA DO SOBOTY_ogródek 95m2_PROMOCJ,50-74,Normal,7827.529089664614
Łódź,Company post,890000.0,5,117.0,117 M5 - 5 mieszkań - Doskonałe Pod Inwestycje.,>100,Normal,7606.8376068376065
Lublin,Company post,,2,38.82,Kompaktowe Mieszkanie Rezydencja Ogród Saski D4.3,30-49,Normal,
Ruda Śląska,Company post,169000.0,2,40.0,"Mieszkanie w centrum Rudy Sl, noweCO, niski czynsz",30-49,Normal,4225.0
Katowice,Company post,175000.0,1,24.6,"1 pokój, 1 piętro, niski blok, Brynów ul. Załęska.",<30,Normal,7113.821138211381
Olkusz,Company post,479000.0,3,70.4,Nowoczesne mieszkanie z pięknym widokiem na las,50-74,Normal,6803.977272727272
Nowy Dwór Mazowiecki,Company post,459990.0,2,52.62,Rezydencja OKRZEI Nowy Dwór Mazowiecki,50-74,Normal,8741.733181299887
Wrocław,Company post,359000.0,1,24.55,"Kawalerka z wydzieloną sypialnią, bezpośrednio",<30,Normal,14623.217922606924
Parzniew,Company post,540000.0,2,56.0,"2- pok w Parzniewie, garaż, 56 mkw",50-74,Normal,9642.857142857143
Bydgoszcz,Company post,375000.0,3,51.71,"Nowe 3-pok mieszkanie z dużym ogródkiem - 51,98m2",50-74,Normal,7251.9822084703155
Łódź,Company post,120000.0,1,14.9,Kawalerka ul Wschodnia 36 rewitalizowana kamienica,<30,Normal,8053.691275167785
Lublin,Company post,,3,33.91,Atrakcyjne Mieszkanie Rezydencja Ogród Saski| D4.4,30-49,Normal,
Sosnowiec,Company post,348000.0,3,53.96,Gotowe!! Widok na Górkę Środulską+miejsce GRATIS,50-74,Normal,6449.221645663454
Gdynia,Company post,740000.0,2,40.0,"Apartament 40 m2, Ip., idealny również na biuro",30-49,Normal,18500.0
Częstochowa,Company post,317558.0,2,38.26,Nowe mieszkania/Osiedle Santo,30-49,Normal,8300.0
Sosnowiec,Company post,182000.0,2,34.44,Sosnowiec Sielec ul. Zamkowa M3,30-49,Normal,5284.552845528456
Częstochowa,Company post,427548.0,2,52.14,Nowe mieszkania/Osiedle Santo,50-74,Normal,8200.0
Warszawa,Company post,506100.0,3,57.0,Gotowe 3pok_ widok na PARK_ HALA GARAŻOWA W CENIE,50-74,Normal,8878.947368421053
Warszawa,Company post,1068000.0,4,84.5,Wprowadź się dziś do nowoczesnego ze SMART HOME,75-100,Normal,12639.05325443787
Kraków,Company post,551806.0,3,52.95,3 pokoje z tarasem + Dwa miejsca garażowe!,50-74,Normal,10421.265344664778
Czarnochowice,Company post,740000.0,4,80.0,3pok+poddasze 80m2 20min Matecznego k. Wieliczki,75-100,Normal,9250.0
Sosnowiec,Company post,391654.0,3,63.17,Bezczynszowe 3 pokoje z ogrodem w nowym bloku,50-74,Normal,6200.0
Lwówek Śląski,Company post,315000.0,2,46.54,"Mieszkanie, 46,54 m², Lwówek Śląski",30-49,Normal,6768.371293510959
Lublin,Company post,475000.0,3,61.66,Okazja deweloperka 3 pokoje kameralne 2 m.p.,50-74,Normal,7703.535517353228
Lublin,Company post,,2,37.07,Niezwykłe Mieszkanie Rezydencja Ogród Saski | D4.5,30-49,Normal,
Sosnowiec,Company post,360896.0,3,56.39,3 Pokoje Gotowe Miejsce w hali GRATIS. RAbATY,50-74,Normal,6400.0
Poznań,Company post,358000.0,2,41.0,2 pok idealna inwestycja,30-49,Normal,8731.707317073171
Lublin,Company post,,2,36.91,Przytulne Mieszkanie Rezydencja Ogród Saski | D4.6,30-49,Normal,
Rzeszów,Company post,230828.0,1,25.09,Mieszkanie na Osiedlu Architektów B3.0.M111,<30,Normal,9200.0
Białystok,Company post,249000.0,1,28.0,Kawalerka- 28m2 na Wesołej,<30,Normal,8892.857142857143
Wałbrzych,Company post,139000.0,2,32.88,"Atrakcyjna lokalizacja, do remontu",30-49,Normal,4227.493917274939
Bielawa,Company post,249000.0,3,48.6,Jasne mieszkanie w bloku w Bielawie!,30-49,Normal,5123.456790123457
Warszawa,Company post,699000.0,4,84.0,Przestronne ok. 85m2. Piękna Zielona Okolica,75-100,Normal,8321.42857142857
Kraków,Company post,525000.0,2,35.15,Ładne 2-Pokojowe Z Balkonem W Nowym Budownictwie,30-49,Normal,14935.988620199147
Kraków,Company post,516879.0,2,52.21,Mieszkanie 53m2 z balkonem w spokojnej okolicy,50-74,Normal,9900.0
Szczytno,Company post,520000.0,4,97.77,Mieszkanie dwupoziomowe na nowoczesnym osiedlu,75-100,Normal,5318.604889025263
Poznań,Company post,470800.0,3,55.0,"Duży Ogród - 3 pokoje , tramwaj, autobus",50-74,Normal,8560.0
Gdańsk,Company post,490000.0,2,40.0,2 pokoje z ogródkiem na kameralnym osiedlu!,30-49,Normal,12250.0
Poznań,Company post,351522.0,2,40.56,"10min do Politechniki, blisko Tramwaj! Wyprzedaż!",30-49,Normal,8666.715976331361
Poznań,Company post,,2,45.24,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,45.61,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Poznań,Company post,,3,68.77,3-pokojowe mieszkanie 68m2 + loggia Bez Prowizji,50-74,Normal,
Poznań,Company post,,3,59.51,3-pokojowe mieszkanie 59m2 + loggia Bez Prowizji,50-74,Normal,
Poznań,Company post,,3,68.77,3-pokojowe mieszkanie 68m2 + loggia,50-74,Normal,
Poznań,Company post,,1,30.69,1-pokojowe mieszkanie 30m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,517400.0,2,45.24,2-pokojowe mieszkanie 45m2 + loggia Bezpośrednio,30-49,Normal,11436.781609195401
Poznań,Company post,,3,59.5,3-pokojowe mieszkanie 59m2 + loggia Bez Prowizji,50-74,Normal,
Poznań,Company post,,3,68.77,3-pokojowe mieszkanie 68m2 + loggia,50-74,Normal,
Poznań,Company post,,2,45.61,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,1,30.69,1-pokojowe mieszkanie 30m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,48.54,2-pokojowe mieszkanie 48m2 + loggia Bez Prowizji,30-49,Normal,
Kielce,Company post,235000.0,2,35.0,Dwupokojowe mieszkanie do zamieszkania,30-49,Normal,6714.285714285715
Kraków,Company post,750000.0,3,83.97,"⚡️84 m2, 3 pok., Parking, piwnica, wysoki standa",75-100,Normal,8931.761343336906
Poznań,Company post,349000.0,2,32.0,"2 pokoje, osiedle zamknięte, cisza i spokój",30-49,Normal,10906.25
Lublin,Company post,685000.0,3,65.5,65 m2 w atrakcyjnej lokalizacji os.Botanik,50-74,Normal,10458.015267175573
Bydgoszcz,Company post,189000.0,1,17.2,Kawalerka Solskiego 17m przy Zielone Arkady,<30,Normal,10988.372093023256
Serock,Company post,238500.0,1,17.0,TOP Apartament Gym Squash Sauna Kino,<30,Normal,14029.411764705883
Wrocław,Company post,540000.0,3,55.0,Mieszkanie Grunwaldzka,50-74,Normal,9818.181818181818
Ustronie Morskie,Company post,508768.0,1,31.8,VILLA SERENITY Ustronie Morskie,30-49,Normal,15998.993710691824
Warszawa,Company post,699000.0,2,60.0,"Mieszkanie 60m2 Warszawa, Mokotów",50-74,Normal,11650.0
Warszawa,Company post,449000.0,2,39.0,Mieszkanie 39m2 Białołęka,30-49,Normal,11512.820512820514
Poznań,Company post,449000.0,3,63.0,Niski Blok/ 3 Pokoje/ Os.Rusa/ 63 Mkw,50-74,Normal,7126.984126984127
Poznań,Company post,,3,59.5,3-pokojowe mieszkanie 59m2 + loggia Bezpośrednio,50-74,Normal,
Poznań,Company post,,2,45.59,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Lublin,Company post,,2,34.65,Dwupokojowe Mieszkanie Rezydencja Ogród Saski D4.7,30-49,Normal,
Poznań,Company post,,2,48.54,2-pokojowe mieszkanie 48m2 + loggia,30-49,Normal,
Kraków,Company post,429000.0,1,28.63,Idealna inwestycja- kup i zarabiaj na wynajmie !,<30,Normal,14984.282221446036
Poznań,Company post,600000.0,3,70.4,"Mieszkanie, 70,40 m², Poznań",50-74,Normal,8522.727272727272
Poznań,Company post,,1,30.69,1-pokojowe mieszkanie 30m2 + loggia,30-49,Normal,
Kraków,Company post,1940000.0,5,200.0,5 pok w zabytkowej kamienicy | ul. Szlak,>100,Normal,9700.0
Poznań,Company post,,3,68.77,3-pokojowe mieszkanie 68m2 + loggia Bezpośrednio,50-74,Normal,
Poznań,Company post,,4,81.66,4-pokojowe mieszkanie 81m2 + 2 loggie Bezpośrednio,75-100,Normal,
Poznań,Company post,,2,45.24,2-pokojowe mieszkanie 45m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,4,81.66,4-pokojowe mieszkanie 81m2 + 2 loggie Bezpośrednio,75-100,Normal,
Poznań,Company post,,2,45.61,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,47.06,2-pokojowe mieszkanie 47m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,3,68.77,3-pokojowe mieszkanie 68m2 + loggia Bez Prowizji,50-74,Normal,
Poznań,Company post,,2,45.59,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Sosnowiec,Company post,215000.0,1,34.31,Kawalerka Budynek GOTOWY,30-49,Normal,6266.394637132031
Poznań,Company post,,2,48.54,2-pokojowe mieszkanie 48m2 + loggia,30-49,Normal,
Poznań,Company post,,3,68.77,3-pokojowe mieszkanie 68m2 + loggia Bezpośrednio,50-74,Normal,
Poznań,Company post,,2,45.61,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,45.24,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,48.54,2-pokojowe mieszkanie 48m2 + loggia,30-49,Normal,
Poznań,Company post,,3,59.5,3-pokojowe mieszkanie 59m2 + loggia Bez Prowizji,50-74,Normal,
Poznań,Company post,,2,45.59,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Poznań,Company post,,1,30.69,1-pokojowe mieszkanie 30m2 + loggia,30-49,Normal,
Poznań,Company post,,2,45.61,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Jelenia Góra,Company post,395000.0,3,55.0,"3 pokoje, 2 balkony - Cieplice",50-74,Normal,7181.818181818182
Poznań,Company post,,2,45.51,2-pokojowe mieszkanie 45m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,2,48.54,2-pokojowe mieszkanie 48m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,2,48.54,2-pokojowe mieszkanie 48m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,45.24,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,46.51,2-pokojowe mieszkanie 46m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,3,66.11,3-pokojowe mieszkanie 66m2 + 2 loggie Bez Prowizji,50-74,Normal,
Poznań,Company post,,3,69.42,3-pokojowe mieszkanie 69m2 + loggia Bezpośrednio,50-74,Normal,
Poznań,Company post,,2,45.88,2-pokojowe mieszkanie 45m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,2,49.05,2-pokojowe mieszkanie 49m2 + loggia,30-49,Normal,
Poznań,Company post,,3,66.11,3-pokojowe mieszkanie 66m2 + 2 loggie Bezpośrednio,50-74,Normal,
Poznań,Company post,,3,59.86,3-pokojowe mieszkanie 59m2 + loggia,50-74,Normal,
Poznań,Company post,,2,45.8,2-pokojowe mieszkanie 45m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,4,81.66,4-pokojowe mieszkanie 81m2 + 2 loggie Bez Prowizji,75-100,Normal,
Poznań,Company post,,2,45.49,2-pokojowe mieszkanie 45m2 + ogródek Bezpośrednio,30-49,Normal,
Poznań,Company post,,2,45.88,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,47.06,2-pokojowe mieszkanie 47m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,2,45.59,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Poznań,Company post,,2,45.61,2-pokojowe mieszkanie 45m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,3,59.5,3-pokojowe mieszkanie 59m2 + loggia,50-74,Normal,
Poznań,Company post,,2,45.88,2-pokojowe mieszkanie 45m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,554700.0,2,48.54,2-pokojowe mieszkanie 48m2 + loggia,30-49,Normal,11427.688504326328
Poznań,Company post,,3,65.92,3-pokojowe mieszkanie 65m2 + loggia Bez Prowizji,50-74,Normal,
Poznań,Company post,,2,45.51,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Poznań,Company post,,4,81.66,4-pokojowe mieszkanie 81m2 + 2 loggie Bez Prowizji,75-100,Normal,
Poznań,Company post,,1,30.02,1-pokojowe mieszkanie 30m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,45.8,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Poznań,Company post,,3,65.92,3-pokojowe mieszkanie 65m2 + loggia Bez Prowizji,50-74,Normal,
Poznań,Company post,,2,42.11,2-pokojowe mieszkanie 42m2 + loggia,30-49,Normal,
Poznań,Company post,,2,42.11,2-pokojowe mieszkanie 42m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,42.11,2-pokojowe mieszkanie 42m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,2,45.51,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Poznań,Company post,,1,30.02,1-pokojowe mieszkanie 30m2 + loggia,30-49,Normal,
Poznań,Company post,,1,30.02,1-pokojowe mieszkanie 30m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,3,59.81,3-pokojowe mieszkanie 59m2 + ogródek Bezpośrednio,50-74,Normal,
Poznań,Company post,475900.0,2,47.06,2-pokojowe mieszkanie 47m2 + loggia Bez Prowizji,30-49,Normal,10112.622184445388
Poznań,Company post,,2,45.72,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Poznań,Company post,,3,69.08,3-pokojowe mieszkanie 69m2 + loggia Bezpośrednio,50-74,Normal,
Poznań,Company post,,2,45.72,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,40.89,2-pokojowe mieszkanie 40m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,4,79.95,4-pokojowe mieszkanie 79m2 + loggia,75-100,Normal,
Poznań,Company post,619000.0,3,55.42,PASTELOWE wnętrze na KAMERALNYM osiedlu nad Wartą,50-74,Normal,11169.252977264525
Poznań,Company post,,2,45.72,2-pokojowe mieszkanie 45m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,4,79.95,4-pokojowe mieszkanie 79m2 + loggia Bezpośrednio,75-100,Normal,
Poznań,Company post,,3,64.58,3-pokojowe mieszkanie 64m2 + loggia,50-74,Normal,
Poznań,Company post,,2,45.59,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Poznań,Company post,,2,48.31,2-pokojowe mieszkanie 48m2 + loggia,30-49,Normal,
Poznań,Company post,,3,59.5,3-pokojowe mieszkanie 59m2 + loggia Bez Prowizji,50-74,Normal,
Poznań,Company post,,2,45.72,2-pokojowe mieszkanie 45m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,1,30.02,1-pokojowe mieszkanie 30m2 + loggia,30-49,Normal,
Poznań,Company post,,2,45.59,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,45.59,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Poznań,Company post,,1,30.69,1-pokojowe mieszkanie 30m2 + loggia,30-49,Normal,
Poznań,Company post,,3,59.5,3-pokojowe mieszkanie 59m2 + loggia,50-74,Normal,
Poznań,Company post,,2,45.59,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Gorzów Wielkopolski,Company post,310000.0,4,92.3,"Mieszkanie, 92,30 m², Gorzów Wielkopolski",75-100,Normal,3358.6132177681475
Poznań,Company post,531500.0,2,48.54,2-pokojowe mieszkanie 48m2 + loggia Bez Prowizji,30-49,Normal,10949.732179645653
Poznań,Company post,,4,81.66,4-pokojowe mieszkanie 81m2 + 2 loggie,75-100,Normal,
Poznań,Company post,,1,30.69,1-pokojowe mieszkanie 30m2 + loggia,30-49,Normal,
Poznań,Company post,,2,46.09,2-pokojowe mieszkanie 46m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,1,30.69,1-pokojowe mieszkanie 30m2 + loggia,30-49,Normal,
Poznań,Company post,,1,30.69,1-pokojowe mieszkanie 30m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,45.61,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,48.54,2-pokojowe mieszkanie 48m2 + loggia,30-49,Normal,
Poznań,Company post,,2,45.24,2-pokojowe mieszkanie 45m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,3,68.77,3-pokojowe mieszkanie 68m2 + loggia Bezpośrednio,50-74,Normal,
Poznań,Company post,,4,81.66,4-pokojowe mieszkanie 81m2 + 2 loggie,75-100,Normal,
Leszno,Company post,515000.0,3,61.5,Spacer wirtualny ! RABATY dla Klientów GOTÓWKOWYC,50-74,Normal,8373.983739837398
Wrocław,Company post,440000.0,1,35.0,"Wrocław,centrum, balkon, piwnica, winda,umeblowane",30-49,Normal,12571.42857142857
Poprzeczna,Company post,300000.0,3,56.0,Ul. Poprzeczna**mieszkanie 3Pokoje**56M2,50-74,Normal,5357.142857142857
Poznań,Company post,,1,30.69,1-pokojowe mieszkanie 30m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,2,45.61,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Poznań,Company post,,2,44.94,2-pokojowe mieszkanie 44m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,3,65.92,3-pokojowe mieszkanie 65m2 + loggia Bez Prowizji,50-74,Normal,
Poznań,Company post,,2,45.61,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
